Username,Compound Score,Negative Score,Neutral Score,Postive Score,Tweet_Date,Tweet_Text,Tweets Ago
@BBC,0.718,0.0,0.727,0.273,Mon Apr 09 17:02:07 +0000 2018,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",0
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:43:45 +0000 2018,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM",1
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:34:07 +0000 2018,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…,2
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:26:04 +0000 2018,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R",3
@BBC,0.624,0.0,0.494,0.506,Mon Apr 09 16:04:04 +0000 2018,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,4
@BBC,0.4,0.0,0.856,0.144,Mon Apr 09 15:42:30 +0000 2018,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,5
@BBC,0.541,0.0,0.811,0.189,Mon Apr 09 15:29:26 +0000 2018,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",6
@BBC,0.527,0.0,0.793,0.207,Mon Apr 09 15:07:08 +0000 2018,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",7
@BBC,0.527,0.0,0.855,0.145,Mon Apr 09 14:02:03 +0000 2018,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",8
@BBC,0.44,0.0,0.707,0.293,Mon Apr 09 13:01:05 +0000 2018,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",9
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:31:27 +0000 2018,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,10
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:28:16 +0000 2018,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",11
@BBC,0.34,0.0,0.888,0.112,Mon Apr 09 12:14:30 +0000 2018,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",12
@BBC,0.67,0.0,0.792,0.208,Mon Apr 09 12:12:54 +0000 2018,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",13
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:02:02 +0000 2018,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,14
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 11:50:07 +0000 2018,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",15
@BBC,-0.202,0.098,0.833,0.068,Mon Apr 09 11:27:01 +0000 2018,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,16
@BBC,0.676,0.083,0.649,0.268,Mon Apr 09 11:16:03 +0000 2018,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",17
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 10:41:24 +0000 2018,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",18
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 08:56:59 +0000 2018,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,19
@BBC,0.718,0.0,0.727,0.273,Mon Apr 09 17:02:07 +0000 2018,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",20
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:43:45 +0000 2018,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM",21
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:34:07 +0000 2018,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…,22
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:26:04 +0000 2018,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R",23
@BBC,0.624,0.0,0.494,0.506,Mon Apr 09 16:04:04 +0000 2018,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,24
@BBC,0.4,0.0,0.856,0.144,Mon Apr 09 15:42:30 +0000 2018,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,25
@BBC,0.541,0.0,0.811,0.189,Mon Apr 09 15:29:26 +0000 2018,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",26
@BBC,0.527,0.0,0.793,0.207,Mon Apr 09 15:07:08 +0000 2018,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",27
@BBC,0.527,0.0,0.855,0.145,Mon Apr 09 14:02:03 +0000 2018,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",28
@BBC,0.44,0.0,0.707,0.293,Mon Apr 09 13:01:05 +0000 2018,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",29
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:31:27 +0000 2018,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,30
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:28:16 +0000 2018,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",31
@BBC,0.34,0.0,0.888,0.112,Mon Apr 09 12:14:30 +0000 2018,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",32
@BBC,0.67,0.0,0.792,0.208,Mon Apr 09 12:12:54 +0000 2018,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",33
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:02:02 +0000 2018,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,34
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 11:50:07 +0000 2018,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",35
@BBC,-0.202,0.098,0.833,0.068,Mon Apr 09 11:27:01 +0000 2018,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,36
@BBC,0.676,0.083,0.649,0.268,Mon Apr 09 11:16:03 +0000 2018,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",37
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 10:41:24 +0000 2018,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",38
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 08:56:59 +0000 2018,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,39
@BBC,-0.325,0.109,0.891,0.0,Mon Apr 09 08:40:53 +0000 2018,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",40
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 08:01:01 +0000 2018,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",41
@BBC,-0.318,0.103,0.897,0.0,Mon Apr 09 07:27:04 +0000 2018,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",42
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 07:00:14 +0000 2018,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,43
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 19:02:05 +0000 2018,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",44
@BBC,0.494,0.0,0.686,0.314,Sun Apr 08 18:03:03 +0000 2018,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,45
@BBC,0.25,0.088,0.765,0.147,Sun Apr 08 17:25:08 +0000 2018,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",46
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 17:07:02 +0000 2018,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",47
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 16:40:55 +0000 2018,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",48
@BBC,-0.226,0.106,0.894,0.0,Sun Apr 08 16:07:03 +0000 2018,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,49
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 15:31:00 +0000 2018,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",50
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 15:11:04 +0000 2018,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",51
@BBC,-0.202,0.189,0.811,0.0,Sun Apr 08 13:54:07 +0000 2018,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,52
@BBC,0.875,0.0,0.607,0.393,Sun Apr 08 13:23:39 +0000 2018,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",53
@BBC,0.273,0.0,0.488,0.512,Sun Apr 08 13:03:04 +0000 2018,😂 'Surprise me'. https://t.co/Jo7illTafh,54
@BBC,-0.077,0.064,0.936,0.0,Sun Apr 08 11:00:15 +0000 2018,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",55
@BBC,0.586,0.0,0.787,0.213,Sun Apr 08 10:15:06 +0000 2018,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",56
@BBC,0.382,0.0,0.88,0.12,Sun Apr 08 10:01:07 +0000 2018,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",57
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 09:08:02 +0000 2018,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",58
@BBC,0.0,0.0,1.0,0.0,Sun Apr 08 08:17:18 +0000 2018,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,59
@BBC,0.637,0.0,0.792,0.208,Sun Apr 08 08:08:07 +0000 2018,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",60
@BBC,0.361,0.0,0.783,0.217,Sun Apr 08 07:02:06 +0000 2018,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,61
@BBC,0.572,0.0,0.748,0.252,Sat Apr 07 18:00:22 +0000 2018,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,62
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 17:19:26 +0000 2018,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",63
@BBC,-0.727,0.405,0.523,0.072,Sat Apr 07 17:04:03 +0000 2018,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,64
@BBC,0.652,0.0,0.581,0.419,Sat Apr 07 16:00:23 +0000 2018,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",65
@BBC,0.691,0.0,0.759,0.241,Sat Apr 07 15:01:03 +0000 2018,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo,66
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 14:33:46 +0000 2018,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…",67
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 14:00:31 +0000 2018,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",68
@BBC,-0.572,0.222,0.778,0.0,Sat Apr 07 13:00:20 +0000 2018,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,69
@BBC,-0.296,0.154,0.748,0.098,Sat Apr 07 12:07:08 +0000 2018,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like… https://t.co/lrGhiKBaGZ",70
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 11:19:19 +0000 2018,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",71
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 11:00:57 +0000 2018,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…,72
@BBC,0.69,0.0,0.749,0.251,Sat Apr 07 11:00:18 +0000 2018,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",73
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 10:26:52 +0000 2018,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…",74
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 10:05:06 +0000 2018,🍓🍒 Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil… https://t.co/s9rFhv5wlu,75
@BBC,-0.866,0.363,0.637,0.0,Sat Apr 07 09:00:12 +0000 2018,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do someth… https://t.co/mcOgFrRtdq",76
@BBC,0.0,0.0,1.0,0.0,Sat Apr 07 08:00:16 +0000 2018,🗑🤖 This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo,77
@BBC,0.34,0.0,0.906,0.094,Sat Apr 07 07:54:05 +0000 2018,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…",78
@BBC,0.459,0.0,0.769,0.231,Sat Apr 07 07:03:06 +0000 2018,😍🐿 These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh,79
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 19:48:37 +0000 2018,"RT @bbcmusic: Jade, this was INCREDIBLE 😍
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu",80
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 18:07:07 +0000 2018,🤔 Modern life is a mystery. https://t.co/a4817Iugzz,81
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 17:32:05 +0000 2018,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. 🎶🎤🎉

Sound… https://t.co/EFjiBk5upm",82
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 16:13:08 +0000 2018,RT @bbcpointswest: 🤩 Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials 🤩 https://t.co/ywlHvaHt2z,83
@BBC,-0.153,0.124,0.78,0.096,Fri Apr 06 16:08:04 +0000 2018,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob",84
@BBC,-0.778,0.332,0.621,0.047,Fri Apr 06 16:02:36 +0000 2018,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…",85
@BBC,0.604,0.0,0.64,0.36,Fri Apr 06 15:23:45 +0000 2018,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe",86
@BBC,0.813,0.0,0.72,0.28,Fri Apr 06 15:22:01 +0000 2018,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too… https://t.co/fG0F3x2eDN",87
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 15:20:18 +0000 2018,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…",88
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 15:02:33 +0000 2018,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr,89
@BBC,0.55,0.282,0.332,0.385,Fri Apr 06 15:02:05 +0000 2018,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs,90
@BBC,-0.585,0.31,0.559,0.13,Fri Apr 06 14:30:39 +0000 2018,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…",91
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 14:07:06 +0000 2018,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A",92
@BBC,-0.422,0.171,0.741,0.088,Fri Apr 06 13:02:05 +0000 2018,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉… https://t.co/b15kbsQ7MD",93
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 12:18:09 +0000 2018,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ,94
@BBC,0.202,0.0,0.899,0.101,Fri Apr 06 12:03:05 +0000 2018,💃🕺 Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr,95
@BBC,0.862,0.0,0.689,0.311,Fri Apr 06 11:32:15 +0000 2018,"RT @BBCSport: Gareth Evans absolutely loved it! 💪 

This is how it felt to win Wales' first gold! 🥇🏴󠁧󠁢󠁷󠁬󠁳󠁿

#GC2018 #bbcgoldcoast https://t…",96
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 11:00:06 +0000 2018,"🦁🦏🐆 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array… https://t.co/5VVyiWHPv1",97
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 10:10:03 +0000 2018,"😻 Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi",98
@BBC,0.0,0.0,1.0,0.0,Fri Apr 06 08:58:33 +0000 2018,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz,99
@CBS,0.0,0.0,1.0,0.0,Mon Apr 09 17:29:47 +0000 2018,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa",0
@CBS,0.0,0.0,1.0,0.0,Mon Apr 09 17:00:02 +0000 2018,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ",1
@CBS,0.273,0.086,0.784,0.129,Mon Apr 09 15:00:00 +0000 2018,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,2
@CBS,0.624,0.0,0.786,0.214,Mon Apr 09 13:36:00 +0000 2018,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,3
@CBS,0.647,0.0,0.72,0.28,Mon Apr 09 01:42:06 +0000 2018,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,4
@CBS,0.71,0.0,0.742,0.258,Sun Apr 08 22:00:01 +0000 2018,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,5
@CBS,0.556,0.0,0.854,0.146,Sun Apr 08 18:38:13 +0000 2018,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,6
@CBS,0.42,0.0,0.892,0.108,Sun Apr 08 15:00:00 +0000 2018,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",7
@CBS,0.67,0.0,0.817,0.183,Sat Apr 07 19:35:08 +0000 2018,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,8
@CBS,0.0,0.0,1.0,0.0,Sat Apr 07 18:28:03 +0000 2018,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,9
@CBS,0.361,0.0,0.894,0.106,Sat Apr 07 16:30:02 +0000 2018,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn,10
@CBS,0.0,0.0,1.0,0.0,Sat Apr 07 15:31:12 +0000 2018,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7",11
@CBS,0.0,0.0,1.0,0.0,Fri Apr 06 21:10:18 +0000 2018,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX,12
@CBS,0.0,0.0,1.0,0.0,Fri Apr 06 17:00:00 +0000 2018,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e,13
@CBS,0.0,0.0,1.0,0.0,Fri Apr 06 13:45:00 +0000 2018,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM,14
@CBS,0.586,0.0,0.806,0.194,Thu Apr 05 21:44:00 +0000 2018,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa,15
@CBS,0.66,0.0,0.759,0.241,Thu Apr 05 19:07:48 +0000 2018,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",16
@CBS,-0.388,0.157,0.769,0.074,Thu Apr 05 17:00:00 +0000 2018,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3",17
@CBS,0.807,0.0,0.687,0.313,Wed Apr 04 22:07:01 +0000 2018,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ,18
@CBS,0.757,0.0,0.712,0.288,Wed Apr 04 21:48:07 +0000 2018,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…",19
@CBS,0.0,0.0,1.0,0.0,Mon Apr 09 17:29:47 +0000 2018,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa",20
@CBS,0.0,0.0,1.0,0.0,Mon Apr 09 17:00:02 +0000 2018,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ",21
@CBS,0.273,0.086,0.784,0.129,Mon Apr 09 15:00:00 +0000 2018,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu,22
@CBS,0.624,0.0,0.786,0.214,Mon Apr 09 13:36:00 +0000 2018,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb,23
@CBS,0.647,0.0,0.72,0.28,Mon Apr 09 01:42:06 +0000 2018,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,24
@CBS,0.71,0.0,0.742,0.258,Sun Apr 08 22:00:01 +0000 2018,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN,25
@CBS,0.556,0.0,0.854,0.146,Sun Apr 08 18:38:13 +0000 2018,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,26
